geneSymbol	Context2	DEG_chr	DEG_start	DEG_end	geneType
AGPAT4	AvT	chr6	161129967	161274095	protein_coding
SLAMF7	AvT	chr1	160739057	160754821	protein_coding
SH2D2A	AvT	chr1	156806235	156817014	protein_coding
ANK1	AvT	chr8	41653220	41896741	protein_coding
IKZF2	AvT	chr2	212999691	213152427	protein_coding
CLXN	AvT	chr8	48710789	48735311	protein_coding
SLC18A1	AvT	chr8	20144855	20183206	protein_coding
AGA	AvT	chr4	177430774	177442444	protein_coding
TLL1	AvT	chr4	165873237	166104457	protein_coding
VCAN	AvT	chr5	83471618	83582303	protein_coding
CDH1	AvT	chr16	68737292	68835540	protein_coding
BEST2	AvT	chr19	12751702	12758458	protein_coding
PHLPP2	AvT	chr16	71637835	71724701	protein_coding
RAB27B	AvT	chr18	54717857	54895516	protein_coding
ZIC2	AvT	chr13	99981784	99986765	protein_coding
EPHA3	AvT	chr3	89107522	89482437	protein_coding
DSG2	AvT	chr18	31497624	31551351	protein_coding
ARAP2	AvT	chr4	35948221	36244777	protein_coding
HDAC9	AvT	chr7	18086949	19002416	protein_coding
PER3	AvT	chr1	7784291	7845181	protein_coding
EPN3	AvT	chr17	50532548	50543750	protein_coding
LTBP1	AvT	chr2	32946472	33399509	protein_coding
NEDD4L	AvT	chr18	58044050	58401540	protein_coding
FOXP3	AvT	chrX	49250436	49264800	protein_coding
DKK3	AvT	chr11	11956207	12009948	protein_coding
ARHGEF5	AvT	chr7	144355288	144380632	protein_coding
CYBA	AvT	chr16	88643275	88651083	protein_coding
PRSS8	AvT	chr16	31131433	31135727	protein_coding
FOXN3	AvT	chr14	89124871	89619271	protein_coding
ENTPD2	AvT	chr9	137048107	137054061	protein_coding
ATP9A	AvT	chr20	51596514	51768390	protein_coding
GALC	AvT	chr14	87837820	87993665	protein_coding
PHF21B	AvT	chr22	44881162	45010022	protein_coding
TRAF1	AvT	chr9	120902393	120931875	protein_coding
CDK14	AvT	chr7	90466424	91210590	protein_coding
CAMK2B	AvT	chr7	44209993	44334577	protein_coding
TBXAS1	AvT	chr7	139777051	140020325	protein_coding
SLC2A3	AvT	chr12	7919230	8019007	protein_coding
STYK1	AvT	chr12	10618919	10674318	protein_coding
GNA15	AvT	chr19	3136033	3163749	protein_coding
PRDM6	AvT	chr5	123089241	123194266	protein_coding
GUCY1B1	AvT	chr4	155758988	155807811	protein_coding
CDH3	AvT	chr16	68636189	68727468	protein_coding
DGAT2	AvT	chr11	75759512	75801542	protein_coding
AHRR	AvT	chr5	320682	438291	protein_coding
LIMCH1	AvT	chr4	41359574	41700049	protein_coding
DLX3	AvT	chr17	49990005	49995224	protein_coding
ST3GAL6	AvT	chr3	98732175	98821201	protein_coding
ATP2C2	AvT	chr16	84368476	84465779	protein_coding
CDON	AvT	chr11	125955796	126063335	protein_coding
BCAS1	AvT	chr20	53936777	54070641	protein_coding
TRAM2	AvT	chr6	52497408	52577077	protein_coding
ERBB3	AvT	chr12	56076799	56103505	protein_coding
MYLK	AvT	chr3	123610049	123884375	protein_coding
PRKCQ	AvT	chr10	6427136	6580855	protein_coding
TLE2	AvT	chr19	2997639	3047635	protein_coding
CTNNA2	AvT	chr2	79185231	80648861	protein_coding
NGEF	AvT	chr2	232878686	233013263	protein_coding
CLDN18	AvT	chr3	137998735	138033655	protein_coding
MSANTD3	AvT	chr9	100426693	100451734	protein_coding
ARFGEF1	AvT	chr8	67173511	67343961	protein_coding
NEO1	AvT	chr15	73051645	73305205	protein_coding
TNFRSF1A	AvT	chr12	6328757	6342114	protein_coding
NAV3	AvT	chr12	77324641	78213010	protein_coding
ROGDI	AvT	chr16	4796962	4802926	protein_coding
PDK3	AvT	chrX	24465244	24550466	protein_coding
KCNAB2	AvT	chr1	5990927	6101193	protein_coding
MAOB	AvT	chrX	43766400	43882559	protein_coding
RORA	AvT	chr15	60488284	61229302	protein_coding
TGFBR3	AvT	chr1	91680343	91906335	protein_coding
PLA2G10	AvT	chr16	14672548	14694308	protein_coding
DAPP1	AvT	chr4	99816816	99870190	protein_coding
CLTCL1	AvT	chr22	19179320	19291774	protein_coding
CNGB1	AvT	chr16	57882340	57971128	protein_coding
ST6GALNAC2	AvT	chr17	76565377	76586956	protein_coding
MGAT4A	AvT	chr2	98619106	98732639	protein_coding
RPS6KA2	AvT	chr6	166409364	166906451	protein_coding
VASH1	AvT	chr14	76761468	76783015	protein_coding
TRIB2	AvT	chr2	12716910	12742734	protein_coding
HLTF	AvT	chr3	149030122	149086554	protein_coding
CDH19	AvT	chr18	66501083	66604438	protein_coding
SLC6A15	AvT	chr12	84859491	84913629	protein_coding
LIMS2	AvT	chr2	127638381	127681786	protein_coding
ALDH3A2	AvT	chr17	19647291	19685760	protein_coding
TRHDE	AvT	chr12	72087266	72670758	protein_coding
CRMP1	AvT	chr4	5748084	5893086	protein_coding
EVC	AvT	chr4	5711201	5814305	protein_coding
SIDT1	AvT	chr3	113532400	113629714	protein_coding
SCARB1	AvT	chr12	124776856	124882668	protein_coding
PANX2	AvT	chr22	50170731	50180295	protein_coding
TP63	AvT	chr3	189631389	189897276	protein_coding
LLGL2	AvT	chr17	75525080	75575215	protein_coding
FNDC8	AvT	chr17	35121615	35130732	protein_coding
GSDMB	AvT	chr17	39904595	39919854	protein_coding
DHRS9	AvT	chr2	169064789	169096168	protein_coding
GLI2	AvT	chr2	120735623	120992653	protein_coding
NOTCH3	AvT	chr19	15159038	15200996	protein_coding
CA12	AvT	chr15	63321378	63382027	protein_coding
NTN4	AvT	chr12	95657807	95791189	protein_coding
NUAK1	AvT	chr12	106063345	106138954	protein_coding
TACR2	AvT	chr10	69403903	69416918	protein_coding
SEMA3C	AvT	chr7	80742538	80922379	protein_coding
WNT8B	AvT	chr10	100463009	100483744	protein_coding
SLC25A40	AvT	chr7	87833561	87876404	protein_coding
CACNG4	AvT	chr17	66964707	67033400	protein_coding
SLC46A1	AvT	chr17	28394642	28407197	protein_coding
PLXNA2	AvT	chr1	208022242	208244850	protein_coding
TPD52	AvT	chr8	80034745	80231232	protein_coding
ACACB	AvT	chr12	109116587	109268226	protein_coding
PAG1	AvT	chr8	80967810	81112116	protein_coding
GPC4	AvT	chrX	133300103	133416214	protein_coding
CAMSAP3	AvT	chr19	7595826	7618352	protein_coding
PAK3	AvT	chrX	110944285	111227361	protein_coding
LRCH4	AvT	chr7	100574011	100586161	protein_coding
TYR	AvT	chr11	89177875	89295759	protein_coding
GPR137B	AvT	chr1	236142148	236221865	protein_coding
SMC1B	AvT	chr22	45344063	45413619	protein_coding
MAP2	AvT	chr2	209423988	209734235	protein_coding
LAMP3	AvT	chr3	183122200	183163839	protein_coding
FAP	AvT	chr2	162170684	162245151	protein_coding
EDN1	AvT	chr6	12287459	12297194	protein_coding
TP73	AvT	chr1	3652516	3736201	protein_coding
UBE2D4	AvT	chr7	43926436	43956136	protein_coding
CLUL1	AvT	chr18	596988	650334	protein_coding
CDH17	AvT	chr8	94124381	94217303	protein_coding
FKBP7	AvT	chr2	178463664	178478600	protein_coding
SLC1A3	AvT	chr5	36596588	36688335	protein_coding
TNS1	AvT	chr2	217799588	218033982	protein_coding
RAPGEF3	AvT	chr12	47734363	47771040	protein_coding
OPHN1	AvT	chrX	67949349	68434120	protein_coding
EPB41L2	AvT	chr6	130839343	131063361	protein_coding
RIMS1	AvT	chr6	71886550	72403150	protein_coding
MOXD1	AvT	chr6	132296055	132401556	protein_coding
PTPRH	AvT	chr19	55181230	55209508	protein_coding
EPHA6	AvT	chr3	96814581	97761532	protein_coding
COL5A3	AvT	chr19	9959561	10010504	protein_coding
MEF2C	AvT	chr5	88717117	88904257	protein_coding
CADPS2	AvT	chr7	122318411	122886779	protein_coding
ATP8B1	AvT	chr18	57646426	57803560	protein_coding
SMARCD3	AvT	chr7	151238764	151277896	protein_coding
FYB1	AvT	chr5	39105252	39274528	protein_coding
MPP4	AvT	chr2	201644870	201698694	protein_coding
COL19A1	AvT	chr6	69866556	70212468	protein_coding
DLG3	AvT	chrX	70444835	70505490	protein_coding
KCNK2	AvT	chr1	215005775	215237090	protein_coding
TRAF5	AvT	chr1	211326325	211375036	protein_coding
OPRK1	AvT	chr8	53225724	53251637	protein_coding
GRHL2	AvT	chr8	101492439	101669726	protein_coding
COL16A1	AvT	chr1	31652260	31704319	protein_coding
OVGP1	AvT	chr1	111414319	111427735	protein_coding
WNT11	AvT	chr11	76186325	76210761	protein_coding
FAT2	AvT	chr5	151504092	151591331	protein_coding
ERO1B	AvT	chr1	236214681	236282019	protein_coding
FTL	AvT	chr19	48965275	48967896	protein_coding
TMPRSS11E	AvT	chr4	68447463	68497604	protein_coding
MMP2	AvT	chr16	55389700	55506691	protein_coding
LPCAT2	AvT	chr16	55508994	55586666	protein_coding
NID2	AvT	chr14	52004809	52069059	protein_coding
PTHLH	AvT	chr12	27958084	27972755	protein_coding
PHACTR3	AvT	chr20	59577495	59847711	protein_coding
PIR	AvT	chrX	15384799	15493635	protein_coding
SULT2B1	AvT	chr19	48552172	48599425	protein_coding
EPB41L1	AvT	chr20	36091504	36232799	protein_coding
SMOX	AvT	chr20	4120980	4187748	protein_coding
SLC4A11	AvT	chr20	3227417	3239580	protein_coding
SIRPG	AvT	chr20	1629152	1657779	protein_coding
FXYD3	AvT	chr19	35115521	35125653	protein_coding
LTBP4	AvT	chr19	40592883	40629821	protein_coding
YPEL3	AvT	chr16	30092314	30096915	protein_coding
ICAM1	AvT	chr19	10271093	10286615	protein_coding
LYZ	AvT	chr12	69348381	69354234	protein_coding
NRCAM	AvT	chr7	108147623	108456717	protein_coding
SLC26A4	AvT	chr7	107660594	107717809	protein_coding
RAPGEF4	AvT	chr2	172735274	173052893	protein_coding
SMPX	AvT	chrX	21705978	21758176	protein_coding
ALKBH5	AvT	chr17	18183078	18209954	protein_coding
NLRP1	AvT	chr17	5499415	5619424	protein_coding
ZFHX4	AvT	chr8	76681239	76867281	protein_coding
ESR1	AvT	chr6	151651284	152129619	protein_coding
SLC22A17	AvT	chr14	23346314	23352912	protein_coding
TGM1	AvT	chr14	24249114	24264432	protein_coding
DAZL	AvT	chr3	16586792	16670306	protein_coding
COL9A3	AvT	chr20	62816244	62841163	protein_coding
UNC13D	AvT	chr17	75827225	75845353	protein_coding
TGFB2	AvT	chr1	218345336	218444619	protein_coding
GABRP	AvT	chr5	170763350	170814047	protein_coding
PTGS1	AvT	chr9	122370530	122395705	protein_coding
CRAT	AvT	chr9	129094142	129111313	protein_coding
TBC1D2	AvT	chr9	98199011	98255649	protein_coding
WHRN	AvT	chr9	114402078	114505525	protein_coding
BLNK	AvT	chr10	96189171	96272658	protein_coding
SMIM24	AvT	chr19	3473986	3480525	protein_coding
TREM2	AvT	chr6	41158488	41163186	protein_coding
ABL1	AvT	chr9	130713043	130887675	protein_coding
PCSK5	AvT	chr9	75890644	76362975	protein_coding
TSPAN15	AvT	chr10	69451150	69507676	protein_coding
MACROH2A2	AvT	chr10	70052544	70112282	protein_coding
CATSPERG	AvT	chr19	38335775	38370943	protein_coding
MISP	AvT	chr19	748404	764363	protein_coding
RASSF7	AvT	chr11	560207	564067	protein_coding
ARVCF	AvT	chr22	19969892	20016823	protein_coding
P2RX6	AvT	chr22	21009808	21028013	protein_coding
GGT5	AvT	chr22	24218000	24245748	protein_coding
SEPTIN3	AvT	chr22	41969443	41998221	protein_coding
SLC5A1	AvT	chr22	32043050	32113029	protein_coding
RAB36	AvT	chr22	23145366	23165663	protein_coding
NEFH	AvT	chr22	29480218	29491390	protein_coding
RASD2	AvT	chr22	35539796	35554003	protein_coding
PDGFB	AvT	chr22	39223359	39244982	protein_coding
APOL1	AvT	chr22	36253071	36267530	protein_coding
CACNA1I	AvT	chr22	39570753	39689735	protein_coding
NCF4	AvT	chr22	36860988	36878017	protein_coding
KCTD17	AvT	chr22	37051739	37063390	protein_coding
IL2RB	AvT	chr22	37118666	37176676	protein_coding
KCNK10	AvT	chr14	88180103	88326907	protein_coding
PYGL	AvT	chr14	50857891	50944734	protein_coding
TRIM9	AvT	chr14	50975261	51096078	protein_coding
SAMD15	AvT	chr14	77376689	77392163	protein_coding
DAAM1	AvT	chr14	59188646	59371405	protein_coding
HIF1A	AvT	chr14	61695456	61748263	protein_coding
PAPLN	AvT	chr14	73236338	73275334	protein_coding
RPS6KA5	AvT	chr14	90847861	91060682	protein_coding
NFATC4	AvT	chr14	24365673	24379604	protein_coding
MMP9	AvT	chr20	46008908	46016561	protein_coding
PROCR	AvT	chr20	35171850	35216240	protein_coding
NINL	AvT	chr20	25451594	25585586	protein_coding
CD40	AvT	chr20	46118249	46129872	protein_coding
NFATC2	AvT	chr20	51386957	51562831	protein_coding
RIMS4	AvT	chr20	44751808	44810546	protein_coding
EEF1A2	AvT	chr20	63477488	63500533	protein_coding
PTK6	AvT	chr20	63528001	63537376	protein_coding
SLC52A3	AvT	chr20	758695	776015	protein_coding
ANGPT4	AvT	chr20	869900	916334	protein_coding
SNPH	AvT	chr20	1266269	1309328	protein_coding
HAO1	AvT	chr20	7882985	7940520	protein_coding
JAG1	AvT	chr20	10637684	10674396	protein_coding
SNTA1	AvT	chr20	33407955	33443885	protein_coding
PXMP4	AvT	chr20	33702758	33720319	protein_coding
WFDC2	AvT	chr20	45469386	45481533	protein_coding
PPP1R16B	AvT	chr20	38804915	38923025	protein_coding
SPINT3	AvT	chr20	45512461	45515622	protein_coding
METTL4	AvT	chr18	2537525	2571509	protein_coding
LAMA1	AvT	chr18	6941742	7117859	protein_coding
NOL4	AvT	chr18	33851100	34224952	protein_coding
VSIG1	AvT	chrX	108044970	108079184	protein_coding
STS	AvT	chrX	7147237	7804358	protein_coding
TBL1X	AvT	chrX	9463258	9741037	protein_coding
MID1	AvT	chrX	10445310	10833654	protein_coding
GLRA2	AvT	chrX	14529298	14731812	protein_coding
SMARCA1	AvT	chrX	129446501	129523947	protein_coding
CD99L2	AvT	chrX	150766336	150898816	protein_coding
VGLL1	AvT	chrX	136532154	136556807	protein_coding
KLHL4	AvT	chrX	87517409	87670050	protein_coding
NALCN	AvT	chr13	101053773	101416508	protein_coding
MSLN	AvT	chr16	760734	768866	protein_coding
HSF4	AvT	chr16	67164681	67169945	protein_coding
CORO1A	AvT	chr16	30182817	30189085	protein_coding
MAPK3	AvT	chr16	30114105	30123506	protein_coding
GDPD3	AvT	chr16	30104810	30113537	protein_coding
ELMO3	AvT	chr16	67199111	67204029	protein_coding
PHKB	AvT	chr16	47461123	47701523	protein_coding
NFAT5	AvT	chr16	69565094	69704666	protein_coding
ZNF423	AvT	chr16	49487524	49857919	protein_coding
CCL22	AvT	chr16	57357925	57366191	protein_coding
PARD6A	AvT	chr16	67660909	67662777	protein_coding
MMP15	AvT	chr16	58025606	58046901	protein_coding
HAS3	AvT	chr16	69105653	69118719	protein_coding
ESRP2	AvT	chr16	68229033	68238102	protein_coding
FA2H	AvT	chr16	74712955	74774837	protein_coding
CMC2	AvT	chr16	80966448	81020270	protein_coding
CRISPLD2	AvT	chr16	84819981	84920768	protein_coding
MEFV	AvT	chr16	3240392	3256954	protein_coding
PYCARD	AvT	chr16	31201486	31203450	protein_coding
TMC5	AvT	chr16	19410428	19499113	protein_coding
SLC6A2	AvT	chr16	55655988	55707645	protein_coding
CORO2B	AvT	chr15	68578971	68727806	protein_coding
CTSH	AvT	chr15	78921058	78949574	protein_coding
CEMIP	AvT	chr15	80779343	80951776	protein_coding
HOMER2	AvT	chr15	82834664	82986153	protein_coding
BMF	AvT	chr15	40087889	40108928	protein_coding
RHOV	AvT	chr15	40872214	40874234	protein_coding
MYEF2	AvT	chr15	48134632	48178353	protein_coding
PDGFRL	AvT	chr8	17576433	17644071	protein_coding
ZDHHC2	AvT	chr8	17155974	17224799	protein_coding
RP1	AvT	chr8	54509422	54871720	protein_coding
CA2	AvT	chr8	85463968	85481493	protein_coding
RIPK2	AvT	chr8	89757783	89791064	protein_coding
EYA1	AvT	chr8	71197432	71592025	protein_coding
NIPAL2	AvT	chr8	98189826	98294393	protein_coding
PLAT	AvT	chr8	42174718	42207709	protein_coding
JPH1	AvT	chr8	74234700	74321592	protein_coding
STK3	AvT	chr8	98371228	98942827	protein_coding
ESRP1	AvT	chr8	94640987	94707466	protein_coding
TRPS1	AvT	chr8	115408496	115809673	protein_coding
SNX16	AvT	chr8	81799581	81842866	protein_coding
GSDMD	AvT	chr8	143553207	143563062	protein_coding
TUSC3	AvT	chr8	15417215	15766649	protein_coding
ASAH1	AvT	chr8	18055992	18084998	protein_coding
DHDH	AvT	chr19	48933699	48944969	protein_coding
DMPK	AvT	chr19	45769709	45782552	protein_coding
TNNT1	AvT	chr19	55132698	55149351	protein_coding
SYDE1	AvT	chr19	15107364	15114988	protein_coding
CASP14	AvT	chr19	15049480	15058293	protein_coding
NUMBL	AvT	chr19	40665905	40690972	protein_coding
FSD1	AvT	chr19	4304595	4323843	protein_coding
TJP3	AvT	chr19	3708356	3750813	protein_coding
TGFB1	AvT	chr19	41301587	41353961	protein_coding
DENND3	AvT	chr8	141117278	141195808	protein_coding
ICAM5	AvT	chr19	10289952	10296778	protein_coding
ATP1A3	AvT	chr19	41966582	41997497	protein_coding
MEIS3	AvT	chr19	47403124	47419530	protein_coding
PTPRS	AvT	chr19	5158495	5340941	protein_coding
FAM83E	AvT	chr19	48599961	48615093	protein_coding
KLF1	AvT	chr19	12884422	12887201	protein_coding
JAK3	AvT	chr19	17824780	17848071	protein_coding
KCNN1	AvT	chr19	17947484	18000085	protein_coding
PDE4C	AvT	chr19	18207965	18248200	protein_coding
MAG	AvT	chr19	35291647	35316351	protein_coding
LSR	AvT	chr19	35248330	35267967	protein_coding
ZNF14	AvT	chr19	19710472	19733112	protein_coding
SCN1B	AvT	chr19	35030447	35040455	protein_coding
ZNF85	AvT	chr19	20923222	20950697	protein_coding
CADM4	AvT	chr19	43622366	43639850	protein_coding
ITGB8	AvT	chr7	20330609	20415754	protein_coding
DNAH11	AvT	chr7	21543039	21901839	protein_coding
GSDME	AvT	chr7	24698355	24757940	protein_coding
ADAP1	AvT	chr7	897900	955407	protein_coding
TFEC	AvT	chr7	115935148	116159896	protein_coding
MET	AvT	chr7	116672051	116798386	protein_coding
LFNG	AvT	chr7	2512529	2529177	protein_coding
VIPR2	AvT	chr7	159028175	159144944	protein_coding
TSPAN12	AvT	chr7	120787319	120858402	protein_coding
CPED1	AvT	chr7	120988697	121297980	protein_coding
HIBADH	AvT	chr7	27525440	27662988	protein_coding
CPVL	AvT	chr7	28994636	29195451	protein_coding
GRB10	AvT	chr7	50590063	50793462	protein_coding
ABHD11	AvT	chr7	73736091	73738863	protein_coding
COBL	AvT	chr7	51016211	51317187	protein_coding
EPHB6	AvT	chr7	142854930	142871094	protein_coding
HSPB1	AvT	chr7	76302673	76305813	protein_coding
SNX8	AvT	chr7	2251770	2354318	protein_coding
HYAL4	AvT	chr7	123828955	123877481	protein_coding
PPP1R17	AvT	chr7	31687215	31708457	protein_coding
SERPINE1	AvT	chr7	101122158	101139263	protein_coding
ACTR3C	AvT	chr7	150243916	150323725	protein_coding
TSPAN13	AvT	chr7	16753745	16784536	protein_coding
AGR2	AvT	chr7	16791387	16833433	protein_coding
URGCP	AvT	chr7	43875894	43926411	protein_coding
PRKAG2	AvT	chr7	151556117	151877507	protein_coding
CLIP2	AvT	chr7	74289407	74405943	protein_coding
SPATA6L	AvT	chr9	4553386	4666674	protein_coding
CNTNAP3	AvT	chr9	39064710	39288611	protein_coding
PRUNE2	AvT	chr9	76611376	76906591	protein_coding
AMBP	AvT	chr9	114060127	114080970	protein_coding
ENG	AvT	chr9	127811130	127855232	protein_coding
DOCK8	AvT	chr9	214854	465259	protein_coding
NCS1	AvT	chr9	130172347	130237303	protein_coding
MPDZ	AvT	chr9	13104620	13279790	protein_coding
GLIS3	AvT	chr9	3824127	4348392	protein_coding
PTGDS	AvT	chr9	136975053	136981750	protein_coding
SHB	AvT	chr9	37915898	38069227	protein_coding
GATA3	AvT	chr10	8045315	8075198	protein_coding
CUBN	AvT	chr10	16823966	17129811	protein_coding
PITX3	AvT	chr10	102230189	102241512	protein_coding
CPEB3	AvT	chr10	92046692	92291628	protein_coding
DNAJC12	AvT	chr10	67796668	67838188	protein_coding
CSF3	AvT	chr17	40015361	40017816	protein_coding
RNF43	AvT	chr17	58353676	58417735	protein_coding
RASD1	AvT	chr17	17494437	17496396	protein_coding
DRG2	AvT	chr17	18087892	18107979	protein_coding
ALDH3A1	AvT	chr17	19737984	19748943	protein_coding
B9D1	AvT	chr17	19334308	19378193	protein_coding
CNTNAP1	AvT	chr17	42682531	42699993	protein_coding
COL1A1	AvT	chr17	50184101	50201634	protein_coding
MPP2	AvT	chr17	43875357	43909711	protein_coding
HLF	AvT	chr17	55264960	55325187	protein_coding
EFNB3	AvT	chr17	7705202	7711372	protein_coding
MMD	AvT	chr17	55392616	55421944	protein_coding
MAP2K6	AvT	chr17	69414683	69553865	protein_coding
MYH3	AvT	chr17	10628526	10657309	protein_coding
PMP22	AvT	chr17	15229773	15272292	protein_coding
CWH43	AvT	chr4	48986162	49062093	protein_coding
AREG	AvT	chr4	74444999	74455005	protein_coding
INPP4B	AvT	chr4	142023160	142847432	protein_coding
CPE	AvT	chr4	165361194	165498547	protein_coding
TRIM2	AvT	chr4	153152163	153339319	protein_coding
SLC2A9	AvT	chr4	9771153	10054936	protein_coding
GLRB	AvT	chr4	157076100	157172090	protein_coding
BST1	AvT	chr4	15703000	15775614	protein_coding
PPARGC1A	AvT	chr4	23755041	23904089	protein_coding
CRYAB	AvT	chr11	111908564	111923722	protein_coding
CTSC	AvT	chr11	88265069	88359684	protein_coding
CCND1	AvT	chr11	69641143	69654474	protein_coding
NECTIN1	AvT	chr11	119623408	119729200	protein_coding
SLC67A1	AvT	chr11	2899718	2925247	protein_coding
SOX6	AvT	chr11	15966449	16739591	protein_coding
EXPH5	AvT	chr11	108505435	108593768	protein_coding
P3H3	AvT	chr12	6828381	6839854	protein_coding
CLEC2B	AvT	chr12	9852369	9870635	protein_coding
SELPLG	AvT	chr12	108620413	108633894	protein_coding
CAPRIN2	AvT	chr12	30709512	30823302	protein_coding
TNS2	AvT	chr12	53046969	53064379	protein_coding
PARP11	AvT	chr12	3791047	3873448	protein_coding
DUSP16	AvT	chr12	12473282	12563147	protein_coding
RASAL1	AvT	chr12	113096517	113136258	protein_coding
FZD10	AvT	chr12	130162459	130165740	protein_coding
ENO2	AvT	chr12	6913745	6923707	protein_coding
COL12A1	AvT	chr6	75084326	75206267	protein_coding
BTN3A3	AvT	chr6	26440452	26453422	protein_coding
FRK	AvT	chr6	115931149	116061093	protein_coding
MAN1A1	AvT	chr6	119177204	119349767	protein_coding
TPD52L1	AvT	chr6	125119049	125264407	protein_coding
RIPOR2	AvT	chr6	24803362	25042170	protein_coding
TULP1	AvT	chr6	35497874	35512896	protein_coding
SLC26A8	AvT	chr6	35943516	36028767	protein_coding
MDGA1	AvT	chr6	37630679	37699306	protein_coding
GLP1R	AvT	chr6	39048781	39091303	protein_coding
BMP5	AvT	chr6	55753653	55875595	protein_coding
BACH2	AvT	chr6	89926528	90296923	protein_coding
ALDH5A1	AvT	chr6	24494798	24537207	protein_coding
VNN1	AvT	chr6	132680849	132719962	protein_coding
SOBP	AvT	chr6	107490073	107661306	protein_coding
ARFGEF3	AvT	chr6	138161939	138344663	protein_coding
SMOC2	AvT	chr6	168440656	168673445	protein_coding
IMPG1	AvT	chr6	75921114	76072678	protein_coding
VEGFA	AvT	chr6	43770184	43786487	protein_coding
