roi_id	distal_chr	distal_start	distal_end	Condition	geneSymbol	Regulation	Context	Genomic_Partition	genomic_partition_distal	mean_dPSI	max_dPSI	overlap_GSE229295_MCF10A_H3K27ac_pooled_peaks	overlap_GSE229295_MCF10A_H3K27me3_pooled_peaks	overlap_GSE229295_MCF10A_H3K4me1_pooled_peaks	overlap_GSE229295_MCF10A_H3K4me3_pooled_peaks	overlap_GSE229295_MCF10AT1_H3K27ac_pooled_peaks	overlap_GSE229295_MCF10AT1_H3K27me3_pooled_peaks	overlap_GSE229295_MCF10AT1_H3K4me1_pooled_peaks	overlap_GSE229295_MCF10AT1_H3K4me3_pooled_peaks	overlap_GSE229295_MCF10CA1a_H3K27ac_pooled_peaks	overlap_GSE229295_MCF10CA1a_H3K27me3_pooled_peaks	overlap_GSE229295_MCF10CA1a_H3K4me1_pooled_peaks	overlap_GSE229295_MCF10CA1a_H3K4me3_pooled_peaks	overlap_GSE98551_MCF10A_CTCF_pooled_peaks_passIDR.05	overlap_GSE98551_MCF10AT1_CTCF_pooled_peaks_passIDR.05	overlap_GSE98551_MCF10CA1_CTCF_pooled_peaks_passIDR.05	overlap_RLOOP_dRNH
chr22_28699938_28710005	chr22	27760000	27765000	MCF10A	CHEK2	Included	AvT	Intron	Intron	0.106	0.106	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_26712009_26718139	chr22	27810000	27815000	MCF10A	MIATNB	Included	AvT	Distal Intergenic	Distal Intergenic	0.215	0.215	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_26712009_26718139	chr22	27840000	27845000	MCF10A	MIATNB	Included	AvT	Distal Intergenic	Distal Intergenic	0.215	0.215	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_26712009_26718139	chr22	28440000	28445000	MCF10A	MIATNB	Included	AvT	Promoter	Exon	0.215	0.215	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
chr22_26712009_26718139	chr22	27350000	27355000	MCF10A	MIATNB	Included	AvT	Intron	Intron	0.215	0.215	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_26712009_26718139	chr22	27610000	27615000	MCF10A	MIATNB	Included	AvT	Distal Intergenic	Distal Intergenic	0.215	0.215	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_26712009_26718139	chr22	27855000	27860000	MCF10A	MIATNB	Included	AvT	Intron	Exon	0.215	0.215	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_26532746_26540788	chr22	28060000	28065000	MCF10A	TPST2	Included	AvT	Intron	Intron	0.117	0.117	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_26465552_26466225	chr22	25135000	25140000	MCF10A	HPS4	Included	AvT	Intron	Intron	0.179	0.179	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_19207677_19208921	chr22	20575000	20580000	MCF10A	CLTCL1	Included	AvT	Intron	Exon	0.155	0.155	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_17823061_17827643	chr22	18075000	18080000	MCF10A	MICAL3	Included	AvT	Promoter	Promoter	0.405	0.405	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
chr19_57475787_57477276	chr19	58325000	58330000	MCF10A	ZNF772	Included	AvT	Promoter	Promoter	0.185	0.185	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
chr19_55455586_55455896	chr19	54485000	54490000	MCF10A	ISOC2	Included	AvT	Distal Intergenic	Distal Intergenic	0.156	0.156	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_48994342_48999318	chr19	47260000	47265000	MCF10A	RUVBL2	Excluded	AvT	Intron	Exon	-0.209	-0.209	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_41239315_41242882	chr19	39840000	39845000	MCF10A	AXL	Included	AvT	Promoter	Exon	0.12	0.12	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
chr19_39101538_39110052	chr19	39325000	39330000	MCF10A	PAPL	Excluded	AvT	Distal Intergenic	Exon	-0.164	-0.164	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr19_38871228_38871797	chr19	38520000	38525000	MCF10A	RINL	Excluded	AvT	Promoter	Exon	-0.152	-0.152	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_38216511_38217797	chr19	37895000	37900000	MCF10A	DPF1	Included	AvT	Intron	Exon	0.395	0.395	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr19_36689498_36703680	chr19	37240000	37245000	MCF10A	ZNF567	Excluded	AvT	Exon	Exon	-0.113	-0.113	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_35497539_35498246	chr19	35355000	35360000	MCF10A	DMKN	Excluded	AvT	Promoter	Promoter	-0.159	-0.159	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_21309342_21327959	chr19	20270000	20275000	MCF10A	ZNF708	Included	AvT	Intron	Intron	0.178	0.178	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_21310628_21329209	chr19	20270000	20275000	MCF10A	ZNF708	Included	AvT	Intron	Intron	0.129	0.129	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_9569083_9584460	chr19	9140000	9145000	MCF10A	ZNF121	Excluded	AvT	Intron	Promoter	-0.103	-0.103	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
chr19_9569083_9584460	chr19	9145000	9150000	MCF10A	ZNF121	Excluded	AvT	Intron	Intron	-0.103	-0.103	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_9569083_9584460	chr19	9150000	9155000	MCF10A	ZNF121	Excluded	AvT	Intron	Intron	-0.103	-0.103	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr19_9569083_9584460	chr19	9160000	9165000	MCF10A	ZNF121	Excluded	AvT	Exon	Exon	-0.103	-0.103	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr20_63534316_63537084	chr20	63970000	63975000	MCF10A	PTK6	Included	AvT	Distal Intergenic	Promoter	0.169	0.169	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
chr20_62143890_62158671	chr20	62005000	62010000	MCF10A	SS18L1	Excluded	AvT	Promoter	Exon	-0.115	-0.115	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr20_47658393_47659696	chr20	48900000	48905000	MCF10A	SULF2	Included	AvT	Distal Intergenic	Distal Intergenic	0.275	0.275	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
chr20_44211357_44217366	chr20	44310000	44315000	MCF10A	OSER1-AS1	Included	AvT	Promoter	Promoter	0.129	0.129	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
chr20_44211357_44217366	chr20	44380000	44385000	MCF10A	OSER1-AS1	Included	AvT	Intron	Exon	0.129	0.129	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr20_44211357_44217366	chr20	44385000	44390000	MCF10A	OSER1-AS1	Included	AvT	Intron	Exon	0.129	0.129	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
chr20_44211357_44217366	chr20	44460000	44465000	MCF10A	OSER1-AS1	Included	AvT	Intron	Promoter	0.129	0.129	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr20_44211357_44217366	chr20	44465000	44470000	MCF10A	OSER1-AS1	Included	AvT	Promoter	Promoter	0.129	0.129	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr20_36212377_36218875	chr20	36435000	36440000	MCF10A	EPB41L1	Excluded	AvT	Intron	Exon	-0.213	-0.213	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr20_36212377_36218875	chr20	36440000	36445000	MCF10A	EPB41L1	Excluded	AvT	Intron	Exon	-0.213	-0.213	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr20_36218963_36221863	chr20	36435000	36440000	MCF10A	EPB41L1	Excluded	AvT	Intron	Exon	-0.109	-0.109	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr20_36218963_36221863	chr20	36440000	36445000	MCF10A	EPB41L1	Excluded	AvT	Intron	Exon	-0.109	-0.109	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr20_25634171_25645530	chr20	26350000	26355000	MCF10A	ZNF337-AS1	Included	AvT	Distal Intergenic	Distal Intergenic	0.15	0.15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr20_25634171_25645530	chr20	26355000	26360000	MCF10A	ZNF337-AS1	Included	AvT	Distal Intergenic	Distal Intergenic	0.15	0.15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr20_21144193_21161870	chr20	20860000	20865000	MCF10A	KIZ	Excluded	AvT	Distal Intergenic	Distal Intergenic	-0.198	-0.198	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr20_5586038_5593326	chr20	5935000	5940000	MCF10A	GPCPD1	Included	AvT	Distal Intergenic	Exon	0.13	0.13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18_30994373_30996790	chr18	31465000	31470000	MCF10A	DSC3	Excluded	AvT	Intron	Exon	-0.104	-0.104	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18_30994373_30996790	chr18	29175000	29180000	MCF10A	DSC3	Excluded	AvT	Distal Intergenic	Distal Intergenic	-0.104	-0.104	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18_12420149_12421285	chr18	12600000	12605000	MCF10A	SLMO1	Included	AvT	Intron	Intron	0.204	0.204	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr18_12420149_12421285	chr18	12660000	12665000	MCF10A	SLMO1	Included	AvT	Promoter	Promoter	0.204	0.204	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr18_12422342_12427220	chr18	12600000	12605000	MCF10A	SLMO1	Excluded	AvT	Intron	Intron	-0.112	-0.112	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr18_12422342_12427220	chr18	12660000	12665000	MCF10A	SLMO1	Excluded	AvT	Promoter	Promoter	-0.112	-0.112	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr18_3594485_3597175	chr18	3265000	3270000	MCF10A	DLGAP1-AS1	Excluded	AvT	Intron	Intron	-0.237	-0.237	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
chr18_3594485_3597175	chr18	3270000	3275000	MCF10A	DLGAP1-AS1	Excluded	AvT	Intron	Exon	-0.237	-0.237	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18_3594485_3597175	chr18	3275000	3280000	MCF10A	DLGAP1-AS1	Excluded	AvT	Intron	Exon	-0.237	-0.237	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18_3594485_3597175	chr18	3280000	3285000	MCF10A	DLGAP1-AS1	Excluded	AvT	Promoter	Exon	-0.237	-0.237	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr18_3594485_3597175	chr18	3295000	3300000	MCF10A	DLGAP1-AS1	Excluded	AvT	Intron	Intron	-0.237	-0.237	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
chr18_690801_691203	chr18	2555000	2560000	MCF10A	ENOSF1	Included	AvT	Intron	Promoter	0.219	0.219	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18_691107_692922	chr18	2555000	2560000	MCF10A	ENOSF1	Included	AvT	Intron	Promoter	0.139	0.139	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr18_693278_694247	chr18	2555000	2560000	MCF10A	ENOSF1	Excluded	AvT	Intron	Promoter	-0.107	-0.107	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_76727358_76732655	chr17	78380000	78385000	MCF10A	METTL23	Excluded	AvT	Intron	Promoter	-0.1815	-0.15	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
chr17_69247645_69249287	chr17	68760000	68765000	MCF10A	ABCA5	Excluded	AvT	Intron	Exon	-0.131	-0.131	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
chr17_69247645_69249287	chr17	68770000	68775000	MCF10A	ABCA5	Excluded	AvT	Distal Intergenic	Distal Intergenic	-0.131	-0.131	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
chr17_69247645_69249287	chr17	68775000	68780000	MCF10A	ABCA5	Excluded	AvT	Distal Intergenic	Distal Intergenic	-0.131	-0.131	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr17_69247645_69249287	chr17	68780000	68785000	MCF10A	ABCA5	Excluded	AvT	Distal Intergenic	Distal Intergenic	-0.131	-0.131	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_69247645_69249287	chr17	68785000	68790000	MCF10A	ABCA5	Excluded	AvT	Distal Intergenic	Distal Intergenic	-0.131	-0.131	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_69251629_69253572	chr17	68765000	68770000	MCF10A	ABCA5	Included	AvT	Distal Intergenic	Distal Intergenic	0.295	0.295	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_69251629_69253572	chr17	68770000	68775000	MCF10A	ABCA5	Included	AvT	Distal Intergenic	Distal Intergenic	0.295	0.295	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
chr17_69251629_69253572	chr17	68775000	68780000	MCF10A	ABCA5	Included	AvT	Distal Intergenic	Distal Intergenic	0.295	0.295	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr17_69251629_69253572	chr17	68780000	68785000	MCF10A	ABCA5	Included	AvT	Distal Intergenic	Distal Intergenic	0.295	0.295	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_69251629_69253572	chr17	68790000	68795000	MCF10A	ABCA5	Included	AvT	Distal Intergenic	Exon	0.295	0.295	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr17_69251629_69253572	chr17	68795000	68800000	MCF10A	ABCA5	Included	AvT	Promoter	Exon	0.295	0.295	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_65743218_65797115	chr17	67035000	67040000	MCF10A	CEP112	Excluded	AvT	Distal Intergenic	Distal Intergenic	-0.112	-0.112	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_65743218_65797115	chr17	65240000	65245000	MCF10A	CEP112	Excluded	AvT	Distal Intergenic	Distal Intergenic	-0.112	-0.112	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
chr17_64323846_64341633	chr17	64415000	64420000	MCF10A	PECAM1	Excluded	AvT	Distal Intergenic	Promoter	-0.105	-0.105	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr17_62681130_62682055	chr17	63420000	63425000	MCF10A	MRC2	Excluded	AvT	Exon	Exon	-0.103	-0.103	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_61847221_61857057	chr17	60845000	60850000	MCF10A	BRIP1	Included	AvT	Intron	Intron	0.102	0.102	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_58999460_59012327	chr17	58515000	58520000	MCF10A	TRIM37	Included	AvT	Promoter	Promoter	0.133	0.133	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
chr17_58999460_59012327	chr17	58520000	58525000	MCF10A	TRIM37	Included	AvT	Promoter	Promoter	0.133	0.133	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
chr17_58999460_59012327	chr17	58575000	58580000	MCF10A	TRIM37	Included	AvT	Intron	Exon	0.133	0.133	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE
chr17_58999460_59012327	chr17	58580000	58585000	MCF10A	TRIM37	Included	AvT	Intron	Exon	0.133	0.133	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr17_58999460_59012327	chr17	58585000	58590000	MCF10A	TRIM37	Included	AvT	Intron	Exon	0.133	0.133	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
